"Country","Releases"
United States,256477
United Kingdom,149674
Germany,93908
Japan,57338
France,42245
[Worldwide],30920
Netherlands,19431
Australia,16549
Italy,16392
Canada,16376
Sweden,16316
Spain,14074
Finland,12733
Europe,10769
Russian Federation,10159
Brazil,8215
Belgium,8017
Poland,7088
Norway,4983
Denmark,4719
Greece,4174
Austria,4110
Argentina,3857
Switzerland,3737
Czech Republic,3252
Turkey,3149
New Zealand,2927
Estonia,2567
Hungary,2408
Taiwan,2362
Mexico,2153
"Korea (South), Republic of",2112
Portugal,1996
India,1887
Israel,1836
Ireland,1465
South Africa,1348
Hong Kong,1176
Latvia,1161
Slovenia,955
Romania,949
China,894
Slovakia,834
Ukraine,785
Lithuania,705
Colombia,702
Chile,687
Croatia,588
Jamaica,587
"Soviet Union (historical, 1922-1991)",574
Philippines,543
"Yugoslavia (historical, 1918-2003)",507
Iceland,433
Puerto Rico,367
Indonesia,340
"Czechoslovakia (historical, 1918-1992)",333
Belarus,271
Bulgaria,258
"Venezuela, Bolivarian Republic of",250
Malaysia,245
Cuba,233
Singapore,218
Peru,211
Serbia,205
Thailand,198
Viet Nam,192
Luxembourg,184
"Serbia and Montenegro (historical, 2003-2006)",181
Uruguay,176
Dominican Republic,135
Egypt,109
Greenland,105
"Iran, Islamic Republic of",94
Réunion,80
"East Germany (historical, 1949-1990)",77
United Arab Emirates,77
Costa Rica,72
Lebanon,69
Nigeria,69
Bosnia and Herzegovina,67
Ecuador,67
"Macedonia, The Former Yugoslav Republic of",60
Pakistan,59
Faroe Islands,57
"Bolivia, Plurinational State of",54
Cape Verde,43
Georgia,39
Algeria,35
"Virgin Islands, U.S.",35
Trinidad and Tobago,33
Guadeloupe,32
Senegal,31
Guatemala,27
Kazakhstan,27
Bangladesh,24
Malta,23
"Korea (North), Democratic People's Republic of",20
Saudi Arabia,20
Malawi,19
Mongolia,19
Cyprus,18
"Moldova, Republic of",18
Armenia,17
Haiti,17
Martinique,17
Panama,17
United States Minor Outlying Islands,17
Mali,16
Ghana,15
Andorra,14
Sri Lanka,14
Uganda,14
Kenya,13
Liechtenstein,13
Morocco,13
Syrian Arab Republic,13
Albania,12
Antarctica,12
Nepal,12
Paraguay,12
Zimbabwe,12
Azerbaijan,11
Tunisia,11
Cambodia,10
Nicaragua,10
Bahamas,8
Cameroon,8
"Congo, The Democratic Republic of the",8
French Polynesia,8
Guinea,8
San Marino,8
"Tanzania, United Republic of",8
Zambia,8
Swaziland,7
Uzbekistan,7
Congo,6
Côte d'Ivoire,6
Iraq,6
Isle of Man,6
El Salvador,5
Gabon,5
Honduras,5
Jersey,5
Madagascar,5
Mauritius,5
Mayotte,5
Monaco,5
Mozambique,5
"Netherlands Antilles (historical, 1954-2010)",5
Afghanistan,4
Angola,4
Aruba,4
Barbados,4
Namibia,4
Palestinian Territory,4
Tokelau,4
Anguilla,3
Botswana,3
Ethiopia,3
Gibraltar,3
Jordan,3
Maldives,3
Suriname,3
Vanuatu,3
Western Sahara,3
Åland Islands,3
American Samoa,2
Belize,2
Benin,2
Bhutan,2
Dominica,2
Fiji,2
Kyrgyzstan,2
New Caledonia,2
Norfolk Island,2
Oman,2
Papua New Guinea,2
Qatar,2
"Saint Helena, Ascension and Tristan da Cunha",2
Saint Vincent and The Grenadines,2
Sao Tome and Principe,2
Seychelles,2
Solomon Islands,2
Sudan,2
Tajikistan,2
Bahrain,1
Burkina Faso,1
Cayman Islands,1
Christmas Island,1
Djibouti,1
French Guiana,1
Grenada,1
Guinea-Bissau,1
Kuwait,1
Lao People's Democratic Republic,1
Montenegro,1
Palau,1
Saint Pierre and Miquelon,1
Togo,1
Turkmenistan,1
"Virgin Islands, British",1
Wallis and Futuna,1
Yemen,1
