"c1","Person","Group"
United States,27265,16101
United Kingdom,12398,9772
Japan,7144,2318
Germany,6617,5168
France,5785,3765
Estonia,4133,1208
Spain,4058,1850
Italy,3594,2952
Finland,3550,2268
Greece,3038,605
Canada,2705,1973
Latvia,2570,489
Sweden,2108,2359
Netherlands,1977,1636
Australia,1581,1720
Turkey,1412,202
Poland,1222,1079
Russian Federation,1195,1059
Denmark,970,630
Brazil,932,582
Norway,855,906
Switzerland,792,500
New Zealand,770,829
India,758,64
Belgium,745,720
Austria,697,466
Jamaica,625,166
Ireland,577,334
"Korea (South), Republic of",551,251
Czech Republic,474,399
Argentina,438,350
Hungary,389,348
Israel,327,207
Mexico,299,310
South Africa,290,172
Taiwan,253,84
Hong Kong,237,47
Slovakia,231,220
Romania,202,125
China,198,123
Cuba,186,74
Ukraine,180,198
Slovenia,165,175
Portugal,165,141
Puerto Rico,162,81
Malaysia,157,64
Philippines,143,88
Lithuania,139,77
Iceland,132,112
Chile,113,131
Serbia,106,141
Viet Nam,99,22
Croatia,95,102
"Soviet Union (historical, 1922-1991)",95,32
Singapore,90,35
Bulgaria,89,43
Colombia,88,119
Indonesia,77,115
Pakistan,67,24
"Iran, Islamic Republic of",62,18
Senegal,61,11
"Venezuela, Bolivarian Republic of",60,51
Uruguay,51,32
Algeria,43,5
"Czechoslovakia (historical, 1918-1992)",42,32
Réunion,39,16
Armenia,35,6
Egypt,34,18
Mali,34,14
Nigeria,34,6
Peru,31,40
Georgia,28,14
"Macedonia, The Former Yugoslav Republic of",28,14
Morocco,28,6
Dominican Republic,28,5
Trinidad and Tobago,28,3
Cyprus,26,35
Kazakhstan,25,7
Tunisia,25,2
Thailand,24,21
Belarus,21,67
Faroe Islands,21,29
Guadeloupe,21,4
Azerbaijan,21,1
Malta,20,13
Bangladesh,19,10
Lebanon,19,10
Luxembourg,17,21
Madagascar,17,7
Cape Verde,17,2
Ghana,16,5
"Congo, The Democratic Republic of the",16,4
Cameroon,16,2
"Yugoslavia (historical, 1918-2003)",15,39
"Bolivia, Plurinational State of",14,17
Bosnia and Herzegovina,14,8
Belize,14,4
"Moldova, Republic of",13,9
Mongolia,13,9
Côte d'Ivoire,13,4
Panama,13,1
Namibia,11,5
Uzbekistan,11,2
"East Germany (historical, 1949-1990)",10,33
Ecuador,10,11
Guatemala,10,7
Kyrgyzstan,10,2
Kenya,9,12
Iraq,9,6
Haiti,8,7
Niger,8,7
Congo,8,2
Ethiopia,8,1
Nicaragua,8,1
Zimbabwe,7,5
Guinea,7,3
Angola,7,2
Paraguay,7,2
Albania,7,1
Costa Rica,6,15
Greenland,6,6
Sri Lanka,6,5
Uganda,6,3
Mauritius,6,1
"Tanzania, United Republic of",6,1
Nepal,5,7
United Arab Emirates,5,6
Barbados,5,2
Sierra Leone,5,1
"Virgin Islands, U.S.",5,1
Honduras,4,6
Jordan,4,4
Mozambique,4,3
Bahamas,4,2
Benin,4,2
Aruba,4,1
Gambia,4,1
Malawi,4,1
Rwanda,4,1
Turkmenistan,4,1
[Worldwide],3,31
Europe,3,28
Jersey,3,6
Isle of Man,3,4
Palestinian Territory,3,2
Zambia,3,2
Andorra,3,1
Burkina Faso,3,1
Guinea-Bissau,3,1
Tajikistan,3,1
El Salvador,2,3
French Guiana,2,1
Monaco,2,1
Bahrain,1,3
Botswana,1,3
Solomon Islands,1,3
"Korea (North), Democratic People's Republic of",1,2
Lesotho,1,2
Maldives,1,2
Bermuda,1,1
Burundi,1,1
Kuwait,1,1
Papua New Guinea,1,1
Saint Lucia,1,1
Saudi Arabia,1,1
Seychelles,1,1
Timor-Leste,1,1
