"Country","Men","Women"
United States,16394,4425
United Kingdom,7126,1643
Germany,4310,824
France,4016,959
Japan,3271,2915
Spain,3156,395
Estonia,3029,1055
Finland,2462,824
Greece,2391,521
Italy,2333,500
Latvia,1908,654
Canada,1591,578
Sweden,1258,363
Netherlands,1080,277
Turkey,919,443
Poland,824,218
Australia,815,284
Russian Federation,811,149
Switzerland,576,113
Brazil,564,213
India,554,133
Denmark,542,171
Norway,485,139
Austria,458,90
Belgium,412,108
Jamaica,409,64
Argentina,356,53
New Zealand,322,150
Czech Republic,305,50
Ireland,301,124
"Korea (South), Republic of",272,157
Hungary,262,60
Israel,199,58
Mexico,174,73
South Africa,145,64
Slovakia,142,51
Cuba,134,15
Portugal,132,24
Puerto Rico,128,14
Taiwan,121,100
Ukraine,118,39
Slovenia,113,25
Hong Kong,112,86
Lithuania,92,19
China,86,69
"Soviet Union (historical, 1922-1991)",86,9
Romania,80,38
Malaysia,75,27
Philippines,74,40
Chile,74,25
Iceland,65,31
Serbia,54,7
Bulgaria,53,19
Colombia,53,15
Viet Nam,51,40
Senegal,50,2
"Venezuela, Bolivarian Republic of",48,5
Croatia,45,12
Uruguay,43,6
"Czechoslovakia (historical, 1918-1992)",36,3
Pakistan,34,12
Singapore,33,22
Réunion,33,6
Nigeria,31,2
Algeria,28,10
Indonesia,26,42
"Iran, Islamic Republic of",26,11
Dominican Republic,24,4
Morocco,24,4
Egypt,23,7
Mali,23,5
Trinidad and Tobago,22,5
"Macedonia, The Former Yugoslav Republic of",22,2
Cyprus,20,6
Armenia,19,8
Peru,19,5
Tunisia,18,5
Kazakhstan,16,4
Faroe Islands,15,5
Madagascar,15,2
Belarus,14,2
Georgia,13,14
Azerbaijan,13,5
"Congo, The Democratic Republic of the",12,4
Bosnia and Herzegovina,12,2
"Yugoslavia (historical, 1918-2003)",12,2
"Moldova, Republic of",12,1
Malta,11,6
Panama,11,2
Lebanon,10,9
Thailand,10,7
Belize,10,4
"Bolivia, Plurinational State of",10,4
Côte d'Ivoire,10,3
Cameroon,9,6
Luxembourg,9,4
Guadeloupe,9,3
Cape Verde,8,5
Ghana,8,3
Martinique,8,3
Ecuador,8,1
Guatemala,8,1
"East Germany (historical, 1949-1990)",7,3
Nicaragua,7,1
Bangladesh,6,5
Syrian Arab Republic,6,2
Guyana,6,1
Haiti,6,1
Namibia,6,1
Mongolia,5,3
Dominica,5,1
Guinea,5,1
Kyrgyzstan,5,1
"Netherlands Antilles (historical, 1954-2010)",5,1
Uganda,5,1
Ethiopia,4,4
Iraq,4,4
Uzbekistan,4,4
Albania,4,3
Angola,4,1
Montenegro,4,1
Sierra Leone,4,1
"Virgin Islands, U.S.",4,1
Kenya,3,3
Mauritius,3,3
Barbados,3,2
Nepal,3,2
Benin,3,1
Congo,3,1
Gabon,3,1
Macao,3,1
Malawi,3,1
Mozambique,3,1
Mauritania,2,2
Bahamas,2,1
Honduras,2,1
Palestinian Territory,2,1
Andorra,1,2
Zambia,1,2
Afghanistan,1,1
Cambodia,1,1
Comoros,1,1
Guinea-Bissau,1,1
Isle of Man,1,1
Monaco,1,1
Tajikistan,1,1
[Worldwide],1,1
Åland Islands,1,1
